ticker,RMSE,R2,MAPE
BDJ,0.078344314,0.98200568,0.639478497
BDN,0.212422609,0.917004703,1.009282321
BDSI,0.105440511,0.950188187,3.429986679
BDX,2.847268097,0.986982962,0.955422774
BEAT,1.141705943,0.981202777,2.412863533
BECN,1.093296106,0.970865368,1.634655751
BEL,0.33589541,0.891228932,1.580555588
BELFA,0.936998778,0.886420251,3.440902132
BELFB,0.788373434,0.960383913,2.425850204
BEN,0.653921717,0.973340329,1.256776763
BEP,0.348031817,0.977970642,0.888848939
BERY,0.730434989,0.975881042,1.023100756
BFAM,1.25737188,0.984166197,0.916319631
BFIN,0.198904443,0.973399035,0.998414844
BFK,0.078123291,0.960487674,0.452982696
BFO,0.039203751,0.969775339,0.196961921
BFR,0.554882098,0.974988571,2.25332454
BFS,0.894542335,0.95980134,1.267420603
BFZ,0.067430698,0.97418669,0.385409543
BG,1.56798141,0.877168036,1.393279573
BGB,0.071940657,0.970410261,0.358310822
BGCA,0.121969663,0.896111582,0.356930269
BGCP,0.223297232,0.983155723,1.336068284
BGFV,0.352403432,0.989041611,2.981560236
BGG,0.475222388,0.95528578,1.547656275
BGH,0.108831523,0.929478607,0.44312395
BGNE,6.833668135,0.776888499,3.072991107
BGR,0.169299994,0.971972126,0.976572073
BGS,0.882812466,0.968579882,1.983244112
BGT,0.083650378,0.86597339,0.477551974
BGY,0.057557975,0.981282348,0.713648643
BHBK,0.373311546,0.862442902,1.338931475
BHE,0.641179816,0.910426852,1.349181387
BHGE,0.776158905,0.970669027,1.758778407
BHK,0.07280703,0.977761213,0.434146933
BHLB,0.561591665,0.951482672,1.214579964
BHP,0.871117609,0.976877951,1.606717016
BHR,0.652228506,0.983306603,12.63195072
BIB,1.552375807,0.93797716,2.110266262
BICK,0.409698066,0.975296891,1.15612752
BID,1.15422511,0.949866397,1.734628286
BIDU,5.469185046,0.974185469,1.699810391
BIF,0.095912588,0.988746524,0.640442989
BIG,1.100428225,0.948750738,1.68783422
BIIB,7.203129423,0.935115354,1.586741632
BIO,4.604545114,0.984680639,1.196401915
BIOC,1.986609804,0.936841261,7.221140997
BIOL,0.240424157,0.989256177,4.579355085
BIOS,0.108335359,0.966418124,3.382300313
BIP,0.52180705,0.974918285,0.986836287
BIS,0.636349015,0.956576164,2.240019473
BIT,0.105127631,0.896494645,0.468147522
BITA,1.291233042,0.975852182,3.148187709
BJRI,1.059304719,0.988846986,1.80955224
BJZ,0.042447259,0.778555744,0.194332875
BK,0.779899663,0.959894585,1.09253213
BKCC,0.081780342,0.957368735,0.929796687
BKD,0.384487058,0.978777006,2.397832756
BKE,0.707175214,0.963837544,2.82438413
